component	dupl_regions	sum_len	mean_len	copy_num	psvs
1-CNTNAP3B	552	49224384	89174	4.79	994510
2-PDXDC1	32	3810632	119082	5.85	114117
3-PRIM2	64	4964219	77565	4.13	89182
4-NPEPPS	13	998964	76843	5.02	17410
5-TYW1B	40	2600117	65002	3.00	28027
6-FP671120_3	16	1971708	123231	5.89	18169
7-HERC2	24	2444655	101860	3.73	26665
8-PARG	27	2770905	102626	3.14	34046
9-ZNF705G	20	1544742	77237	2.89	13963
10	5	132129	26425	6.61	1238
11-UBE2Q2L	20	610989	30549	4.16	6134
12-POTEG	11	1969006	179000	2.76	10448
13-AC098850_3	25	1250890	50035	2.44	10111
14-INTS4	15	601303	40086	2.90	7733
15-DPY19L2	13	613210	47170	2.79	10581
16	9	537035	59670	2.76	5594
17-NSF	9	629799	69977	3.25	6164
18-GPAT2	13	598156	46012	2.60	4909
19-ZNF479	8	982000	122750	2.26	5773
20-SPANXA1	5	293035	58607	2.78	2132
21	1	98295	98295	6.53	1379
22-PLEKHB2	19	781360	41124	3.14	9141
23-THOC3	10	677539	67753	2.23	3743
24-PRAMEF25	12	469447	39120	2.72	3719
25-GAGE12F	4	107053	26763	2.81	646
26-LRRC37B	8	145757	18219	2.37	1261
27-NBPF4	3	253280	84426	2.37	1217
28-TAF11L9	2	30853	15426	3.60	143
29-ARHGEF5	3	214809	71603	2.14	353
30-DPP6	10	814670	81467	2.01	5411
31-TCAF2	4	284313	71078	2.30	416
32	10	837721	83772	2.05	2569
33	13	1682746	129442	2.00	9504
34-RUBCNL	4	149254	37313	2.51	1259
35-GRAPL	1	212315	212315	2.69	242
36-SYT3	8	108061	13507	2.81	736
37-FKBP9	4	158930	39732	2.31	1825
38	5	33104	6620	2.87	128
39-DDX11	5	216760	43352	2.46	2389
40	4	196156	49039	2.26	1937
41-GOLGA6D	11	139979	12725	2.60	686
42-SLC35E2B	9	86234	9581	2.00	350
43	5	204461	40892	2.74	1789
44-AL117339_5	6	313377	52229	2.03	2723
45	10	103738	10373	2.16	792
46-USP17L26	3	108607	36202	2.80	503
47	7	466068	66581	2.04	1210
48	9	806532	89614	2.00	4177
49-PCDH11X	13	2201090	169314	2.00	12297
50-CT47A9	2	56039	28019	2.55	195
51-TSPY4	2	151746	75873	2.86	579
52-IGHV3_43	3	67997	22665	2.37	637
53-CCDC200	6	52826	8804	2.70	233
54	5	41964	8392	2.46	165
55	9	263519	29279	2.29	759
56-NEB	1	31782	31782	2.94	155
57-TMLHE	3	110107	36702	2.26	48
58-OR2G6	6	181399	30233	2.00	754
59-TTC34	3	41928	13976	2.03	82
60-RSRP1	3	128657	42885	2.00	928
61-FCGR2A	6	153430	25571	2.03	851
62-ZNF596	5	86434	17286	2.00	676
63	1	29591	29591	2.50	39
64-ZDHHC11B	7	126452	18064	2.01	817
65-C4A	1	65596	65596	2.00	64
66	3	174052	58017	2.00	225
67-MFSD14C	3	250660	83553	2.00	1211
68	3	28753	9584	2.34	79
69-CT45A3	7	154068	22009	2.12	409
70-TEX28	3	131794	43931	2.50	144
71	1	44717	44717	2.25	262
72	3	67035	22345	2.00	4
73	3	62600	20866	2.00	555
74-SSU72P7	4	105335	26333	2.16	807
75	5	143301	28660	2.06	1086
76-AL137058_3	5	229744	45948	2.00	1111
77-TPSB2	2	29078	14539	2.12	149
78-C17orf51	5	190977	38195	2.00	1521
79-SERHL2	6	35406	5901	2.00	173
80	5	313493	62698	2.01	175
81-DMRTC1B	1	238596	238596	2.47	110
82-GPR89B	5	171368	34273	2.00	659
83-BMP8A	4	27704	6926	2.00	98
84	2	10890	5445	2.00	8
85-AMY1A	2	94461	47230	2.00	41
86-CR1	1	36845	36845	2.00	32
87-EYS	2	49611	24805	2.00	243
88	2	31932	15966	2.00	53
89-AC068491_4	2	532692	266346	2.00	1614
90	2	37215	18607	2.00	190
91-AQP12A	2	23799	11899	2.00	67
92	4	46606	11651	2.00	109
93-MEF2C	4	35293	8823	2.00	195
94-CCDC146	2	217086	108543	2.00	1442
95-RSPH10B	2	189227	94613	2.00	605
96-CDC14C	2	47963	23981	2.00	303
97	2	61496	30748	2.00	103
98	4	35006	8751	2.00	68
99-DEFA1	1	38220	38220	2.00	21
100-RBPMS	2	28516	14258	2.00	1
101	2	20433	10216	2.00	4
102-TRPM3	1	35986	35986	2.00	0
103-SPATA31D3	2	25180	12590	2.00	6
104	2	59848	29924	2.00	233
105	5	28935	5787	2.00	64
106-ZNF630	2	32258	16129	2.00	69
107-SSX4B	2	56178	28089	2.00	15
108-CENPVL2	2	49713	24856	2.00	8
109	2	196	98	2.00	6
110-XAGE1B	4	58729	14682	2.00	26
111-FAM156A	4	79018	19754	2.00	27
112-MAGEH1	2	53221	26610	2.00	10
113	2	99793	49896	2.00	10
114-CXorf49B	1	115361	115361	2.92	43
115	4	355104	88776	2.00	2005
116-AC235565_2	2	239104	119552	2.00	79
117-RHOXF2	2	97785	48892	2.00	56
118-ZNF75D	4	84178	21044	2.00	34
119-CXorf51B	3	21194	7064	3.00	12
120-CXorf40A	6	50691	8448	2.00	122
121-MAGEA9	2	58225	29112	2.00	31
122	2	55567	27783	2.00	28
123-CSAG3	4	93833	23458	2.00	74
124-AC236972_4	2	87420	43710	2.00	65
125-RPL10	2	22666	11333	2.00	48
126-IKBKG	2	70904	35452	2.00	19
127-VCY1B	2	70399	35199	2.00	2
128	2	220017	110008	2.00	47
129	4	23581	5895	2.00	10
130-SYCE1	2	26854	13427	2.00	100
131-MRPL23	2	198401	99200	2.00	103
132	1	91604	91604	2.00	122
133-PGA3	1	37568	37568	2.00	47
134-TRIM49	3	346882	115627	2.00	613
135	2	15600	7800	2.00	0
136-PRR20C	2	29626	14813	2.00	18
137	2	70175	35087	2.00	45
138-IQCK	2	33084	16542	2.00	35
139	2	78149	39074	2.00	70
140-PPIP5K1	6	126066	21011	2.00	216
141	2	32440	16220	2.00	97
142-GOLGA8A	2	117186	58593	2.00	385
143-PDPK1	4	66383	16595	2.00	60
144-ACSM2B	7	86703	12386	2.00	617
145	2	181328	90664	2.00	22
146	2	52984	26492	2.00	15
147-PDPR	2	64777	32388	2.00	520
148-CDRT15	2	21679	10839	2.00	87
